[2017/05/07 20:41:12]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/07 20:41:12]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/07 20:41:12]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/07 20:41:12]  SELECT * FROM pre_article WHERE artcate_id = 8 ; ERROR: 0 
[2017/05/07 20:41:12]  SELECT * FROM pre_admin WHERE admin_id = 1 ; ERROR: 0 
[2017/05/07 20:41:12]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/07 20:41:25]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  ; ERROR: 0 
[2017/05/07 20:41:33]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  ; ERROR: 0 
[2017/05/07 20:41:51]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/07 20:41:51]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/07 20:41:51]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/07 20:41:51]  SELECT * FROM pre_article WHERE artcate_id = 8 ; ERROR: 0 
[2017/05/07 20:41:51]  SELECT * FROM pre_admin WHERE admin_id = 1 ; ERROR: 0 
[2017/05/07 20:41:51]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/07 20:42:34]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/07 20:42:34]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/07 20:42:34]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
